co_art,Modelo,Descripción,Sub-Línea,Marca,P1 C/IVA,P2 C/IVA,DSP
400326,70UQ8050PSB,"TV SMART LG 4K UHD LED 70"" THINQ AI NEGRO",TV,LG,"1.599,99","959,99",3
400334,43S5400AF,"TV SMART TCL FHD LED 42"" NEGRO",TV,TCL,"479,99","289,99",5
400336,QN50QN90CAPXPA,"TV SMART SAMSUNG 4K NEO QLED 50"" THINQ AI PLATEADO",TV,SAMSUNG,"1.989,99","1.149,99",2
400337,QN75QN90CAPXPA,"TV SMART SAMSUNG 4K NEO QLED 75"" THINQ AI NEGRO",TV,SAMSUNG,"4.119,99","2.379,99",2
400341,QN98Q80CAPXPA,"TV SMART SAMSUNG 4K QLED 98"" THINQ AI NEGRO",TV,SAMSUNG,"8.454,99","4.999,99",2
400342,QN75Q60CAPXPA,"TV SMART SAMSUNG 4K QLED 75"" THINQ AI NEGRO",TV,SAMSUNG,"2.144,99","1.239,99",2
400347,65TR3BFB,"PANTALLA DIG LG INTERACT UHD NEG 65""",TV,LG,"3.379,99","1.999,99",1
400348,43LT340C0UB,"MONITOR LG COMERC LED/ LCD/ FHD NEG 43""",TV,LG,"839,99","499,99",1
400351,50A6H,"TV SMART HISENSE 4K UHD LED 50"" NEGRO",TV,HISENSE,"799,99","479,99",7
400356,55QNED80TSA,"TV SMART LG 4K QNED 55"" THINQ AI NEGRO",TV,LG,"1.834,99","1.099,99",3
400357,55NANO80TSA,"TV SMART LG 4K NANO CELL 55"" THINQ AI NEGRO",TV,LG,"1.369,99","819,99",6
400358,50UT7300PSA,"TV SMART LG 4K UHD LED 50"" THINQ AI NEGRO",TV,LG,"1.069,99","639,99",3
400359,43UT7300PSA,"TV SMART LG 4K UHD LED 43"" THINQ AI NEGRO",TV,LG,"769,99","459,99",14
400360,27ART10AKPL,"PANTALLA SMART 4K ULTRA HD / THINQ AI 27""",TV,LG,"2.499,99","1.499,99",1
400362,65P79B,"TV SMART TCL 4K UHD 65"" NEGRO",TV,TCL,"1.259,99","749,99",1
500085,PK5,ALTAVOZ LG 20W XBOOM GO PORTATIL NEGRO,CORNETAS,LG,"264,99","154,99",1
500114,CL98,MINICOMPONENTE LG 3500W XBOOM KARAOKE NEGRO,MINICOMPONENTES,LG,"1.169,99","699,99",2
500120,PK7,ALTAVOZ LG 40W XBOOM GO PORTATIL NEGRO,CORNETAS,LG,"309,99","184,99",1
500134,PARTYBOX110,ALTAVOZ JBL 160W PARTYBOX PORTATIL NEGRO,CORNETAS,JBL,"669,99","399,99",5
500137,HWQ700A,BARRA DE SONIDO SAMSUNG 28W 3.1.2 CH C/SUBWOOFER NEGRO,CORNETAS,SAMSUNG,"869,99","524,99",1
500139,HKOS4BLKAM,ALTAVOZ HARMAN KARDON ONYX STUDIO 4 50W PORTATIL NEGRO,CORNETAS,HARMAN KARDON,"409,99","239,99",2
500140,CL87,MINICOMPONENTE LG 2350W XBOOM KARAOKE NEGRO,MINICOMPONENTES,LG,"764,99","459,99",1
500145,RM1,ALTAVOZ LG 25W XBOOM PORTATIL NEGRO,CORNETAS,LG,"169,99","99,99",4
500146,RM2,ALTAVOZ LG 80W XBOOM PORTATIL NEGRO,CORNETAS,LG,"334,99","199,99",9
500150,CINEMASB140,BARRA DE SONIDO JBL 110W 2.1 CH C/SUBWOOOFER NEGRO,CORNETAS,JBL,"419,99","249,99",1
500161,AWSP06TW,SISTEMA DE AUDIO AIWA 80W PORTATIL NEGRO,CORNETAS,AIWA,"119,99","69,99",1
500168,AWPOC11,SISTEMA DE AUDIO AIWA 500W PORTATIL NEGRO,CORNETAS,AIWA,"299,99","174,99",2
500176,AWPOK300D,SISTEMA DE AUDIO AIWA 3000W PORTATIL NEGRO,CORNETAS,AIWA,"694,99","399,99",2
500178,HWQ800CZP,BARRA DE SONIDO SAMSUNG 39W 5.1.2 CH C/SUBWOOFER NEGRO,CORNETAS,SAMSUNG,"799,99","479,99",4
500179,HWQ930CZP,BARRA DE SONIDO SAMSUNG 42W 9.1.4 CH C/SUBWOOFER NEGRO,CORNETAS,SAMSUNG,"1.554,99","929,99",9
500180,HWS800BZP,BARRA DE SONIDO SAMSUNG 28W 3.1.2 CH C/SUBWOOFER DELGADA NEGRO,CORNETAS,SAMSUNG,"799,99","479,99",4
500181,MXST90BZP,TORRE DE SONIDO SAMSUNG 1700W BIDIRECCIONAL NEGRO,CORNETAS,SAMSUNG,"999,99","599,99",8
500184,PARTYBOX310,ALTAVOZ JBL 240W PARTYBOX PORTATIL NEGRO,CORNETAS,JBL,"1.069,99","639,99",9
500185,PARTYBOX710,ALTAVOZ JBL 800W PARTYBOX PORTATIL NEGRO,CORNETAS,JBL,"1.169,99","699,99",15
600006,TJ5604,CABLE PARA LAVADORA GE,ACCESORIOS LB,GE,"39,99","0,00",18
600012,FRBASKETU1,CESTA UNIVERSAL P/FREGADEROS FRINOX NEG ACERO,FREGADEROS,FRINOX,"34,99","0,00",1
600076,MK2160AZ,"TRIM KIT PARA MICROONDAS KITCHENAID 30""",ACCESORIOS LB,KITCHENAID,"319,99","189,99",5
600094,8212546RP,MANGUERA PARA LAVADORA WHIRLPOOL,ACCESORIOS LB,WHIRLPOOL,"29,99","0,00",32
600117,CB66B,TAPA PARA COCINA NARDI NEGRO,ACCESORIOS LB,NARDI,"4,99","0,00",1
600122,MWTKP27KF,"TRIM KIT PARA MICROONDAS FRIGIDAIRE 27""",ACCESORIOS LB,FRIGIDAIRE,"174,99","99,99",1
600123,MWTKP30KF,"TRIM KIT PARA MICROONDAS FRIGIDAIRE 30""",ACCESORIOS LB,FRIGIDAIRE,"249,99","149,99",8
600124,MK1150XVQ,"TRIM KIT PARA MICROONDAS WHIRLPOOL 30"" MT4155SPQ",ACCESORIOS LB,WHIRLPOOL,"119,99","69,99",6
600161,FRD7547,FREGADERO FRINOX 1T 75X47X21 CM C/KIT ACERO,FREGADEROS,FRINOX,"294,99","174,99",4
600162,FRD8050,FREGADERO FRINOX 1T 80X50X24 CM ACERO,FREGADEROS,FRINOX,"429,99","259,99",4
